,time,pre_total_sheet
919,2020/11/2-20,41
920,2020/11/2-21,4
921,2020/11/2-22,16
922,2020/11/2-23,3
923,2020/11/20-1,37
924,2020/11/20-2,43
925,2020/11/20-3,5
926,2020/11/20-4,2
927,2020/11/20-5,3
928,2020/11/20-6,1
929,2020/11/20-8,3
930,2020/11/20-9,39
931,2020/11/20-10,7
932,2020/11/20-11,41
933,2020/11/20-12,11
934,2020/11/20-13,8
935,2020/11/20-14,34
936,2020/11/20-15,14
937,2020/11/20-16,26
938,2020/11/20-17,20
939,2020/11/20-18,10
940,2020/11/20-19,52
941,2020/11/20-20,25
942,2020/11/20-21,12
943,2020/11/20-22,21
944,2020/11/20-23,29
945,2020/11/21-0,2
946,2020/11/21-1,2
947,2020/11/21-2,1
948,2020/11/21-3,2
949,2020/11/21-6,7
950,2020/11/21-7,6
951,2020/11/21-8,19
952,2020/11/21-9,17
953,2020/11/21-10,9
954,2020/11/21-11,23
955,2020/11/21-12,50
956,2020/11/21-13,54
957,2020/11/21-14,24
958,2020/11/21-15,38
959,2020/11/21-16,30
960,2020/11/21-17,18
961,2020/11/21-19,30
962,2020/11/21-20,1
963,2020/11/21-21,32
964,2020/11/21-23,41
965,2020/11/22-1,1
966,2020/11/22-3,7
967,2020/11/22-5,3
968,2020/11/22-6,1
969,2020/11/22-7,3
970,2020/11/22-8,6
971,2020/11/22-9,2
972,2020/11/22-10,3
973,2020/11/22-11,15
974,2020/11/22-12,69
975,2020/11/22-13,59
976,2020/11/22-14,10
977,2020/11/22-15,15
978,2020/11/22-16,66
979,2020/11/22-17,58
980,2020/11/22-18,31
981,2020/11/22-19,3
982,2020/11/22-20,2
983,2020/11/22-21,2
984,2020/11/22-22,2
985,2020/11/22-23,3
986,2020/11/23-2,4
987,2020/11/23-4,1
988,2020/11/23-6,2
989,2020/11/23-7,11
990,2020/11/23-8,4
991,2020/11/23-9,1
992,2020/11/23-10,10
993,2020/11/23-11,11
994,2020/11/23-12,28
995,2020/11/23-13,16
996,2020/11/23-14,15
997,2020/11/23-15,5
998,2020/11/23-16,8
999,2020/11/23-17,8
1000,2020/11/23-18,25
1001,2020/11/23-19,8
1002,2020/11/23-20,3
1003,2020/11/23-21,8
1004,2020/11/23-22,6
1005,2020/11/23-23,19
1006,2020/11/24-1,12
1007,2020/11/24-2,17
1008,2020/11/24-3,30
1009,2020/11/24-4,18
1010,2020/11/24-5,1
1011,2020/11/24-6,3
1012,2020/11/24-7,3
1013,2020/11/24-8,3
1014,2020/11/24-9,14
1015,2020/11/24-10,18
1016,2020/11/24-11,32
1017,2020/11/24-12,20
1018,2020/11/24-13,20
1019,2020/11/24-14,35
1020,2020/11/24-15,6
1021,2020/11/24-16,6
1022,2020/11/24-17,18
1023,2020/11/24-18,59
1024,2020/11/24-19,36
1025,2020/11/24-20,5
1026,2020/11/24-21,7
1027,2020/11/24-22,73
1028,2020/11/24-23,2
1029,2020/11/25-2,1
1030,2020/11/25-3,2
1031,2020/11/25-4,3
1032,2020/11/25-5,1
1033,2020/11/25-6,3
1034,2020/11/25-7,1
1035,2020/11/25-8,1
1036,2020/11/25-9,7
1037,2020/11/25-10,62
1038,2020/11/25-11,16
1039,2020/11/25-12,50
1040,2020/11/25-13,15
1041,2020/11/25-14,12
1042,2020/11/25-15,49
1043,2020/11/25-16,3
1044,2020/11/25-17,14
1045,2020/11/25-18,19
1046,2020/11/25-19,25
1047,2020/11/25-20,28
1048,2020/11/25-21,2
1049,2020/11/25-22,10
1050,2020/11/25-23,19
1051,2020/11/26-0,6
1052,2020/11/26-2,2
1053,2020/11/26-3,14
1054,2020/11/26-4,36
1055,2020/11/26-7,6
1056,2020/11/26-8,1
1057,2020/11/26-9,3
1058,2020/11/26-10,24
1059,2020/11/26-11,22
1060,2020/11/26-12,12
1061,2020/11/26-13,8
1062,2020/11/26-14,28
1063,2020/11/26-15,3
1064,2020/11/26-16,3
1065,2020/11/26-17,17
1066,2020/11/26-18,19
